,0,AuthorID
209,"Waldman, M",9828
210,"Ali, Merima",9829
211,"ZECKHAUSER, R",9830
212,"ROBERTS, PO",9831
213,"Niu, Chiyu",9832
214,"BLACKABY, DH",9833
215,"AMANO, A",9834
216,"MOHRING, H",9835
217,"Kim, Seong-Hoon",9836
218,"TIROLE, J",9837
219,"Latto, David",9838
220,"TIZARD, RH",9839
221,"DOERINGER, PB",9840
222,"Georgescu-Roegen, Niculae",9841
223,"Morin, Louis-Philippe",9842
224,"HOLLAND, JH",9843
225,"FRAKER, T",9844
226,"Hemet, Camille",9845
227,"SHACKELFORD, JA",9846
228,"De Fraja, G",9847
229,"Olekalns, N",9848
230,"Arenwald, Walter P.",9849
231,"Levy, Gilat",9850
232,"Jarmin, Ron S.",9851
233,"DAVIS, OA",9852
234,"Robinson, Harriet",9853
235,"Hatton, Timothy J.",9854
236,"Rauch, JE",9855
237,"Honore, Bo E.",9856
238,"Chen, Han",9857
239,"Harbaugh, WT",9858
240,"SICKLES, R",9859
241,"Blanden, Jo",9860
242,"Visaria, Sujata",9861
243,"Hara, Kazuhiro",9862
244,"Polanvyi, Michael",9863
245,"Sicular, T",9864
246,"MOHTADI, H",9865
247,"Keller, Nicolas",9866
248,"Gayer, Gabi",9867
249,"Brooks, R",9868
250,"Pujol, MA",9869
251,"WILSON, G",9870
252,"Tufano, Peter",9871
253,"McGarry, Kathleen",9872
254,"Brumberg, Richard",9873
255,"HARE, PG",9874
256,"Wang, Chen",9875
257,"Francois, JF",9876
258,"De Feo, Giuseppe",9877
259,"Chabot, Benjamin R.",9878
260,"Collard-Wexler, Allan",9879
261,"Quiggin, John",9880
262,"Lyons, Elizabeth",9881
263,"Mitman, Kurt",9882
264,"ONEILL, D",9883
265,"Reizer, Balazs",9884
266,"Lusardi, A",9885
267,"ISHIKAWA, T",9886
268,"CANTERBERY, ER",9887
269,"Clinch, JP",9888
270,"Terrill, Robert P.",9889
271,"Paddrik, Mark",9890
272,"Han, Li",9891
273,"Mujcic, Redzo",9892
274,"METCALFE, JS",9893
275,"Diez, Federico J.",9894
276,"Castanheira, Micael",9895
277,"HIGHSMITH, R",9896
278,"HEATH, JB",9897
279,"KASERMAN, DL",9898
280,"EADY, W",9899
281,"GOLDSTEIN, GS",9900
282,"Chapman, Sydney",9901
283,"Preston, I",9902
284,"Clark, K",9903
285,"Joyce, Michael A. S.",9904
286,"Meyersson, Erik",9905
287,"DEU, S",9906
288,"Piketty, Thomas",9907
289,"Easton, ST",9908
290,"OJHA, PD",9909
291,"Marengo, Louis",9910
292,SHESHINS.E,9911
293,"Penta, Antonio",9912
294,"Dowdell, E. G.",9913
295,"Zhong, Songfa",9914
296,"Arkolakis, Costas",9915
297,"Easterbrook, W. T.",9916
298,"TEAL, F",9917
299,"Wolfe, A. B.",9918
300,"Ignacio Garcia-Perez, J.",9919
301,"WOLTER, F",9920
302,"Buck, T",9921
303,"Mishkin, Frederic S.",9922
304,"Ozden, Caglar",9923
305,"Subramanian, Arvind",9924
306,"BROCKIE, MD",9925
307,"Carlstrom, CT",9926
308,"MEIBURG, CO",9927
309,"Mitchell, James",9928
310,"TRIEST, RK",9929
311,"Marty, Alvin L.",9930
312,"HINSHAW, R",9931
313,"BERHOLD, M",9932
314,"BULLARD, J",9933
315,"Trevien, Corentin",9934
316,"Egger, Peter H.",9935
317,PASHIGIA.BP,9936
318,"Cunha, Flavio",9937
319,"BERGSMAN, J",9938
320,"Gersbach, Hans",9939
321,"FOSTER, MI",9940
322,"Cortes, Patricia",9941
323,"Nachbar, JH",9942
324,"Harberger, Arnold C.",9943
325,"ATTIYEH, RE",9944
326,"Sloan, R",9945
327,"DEJANOSI, PE",9946
328,"BATEMAN, BW",9947
329,"Jansen, Marcel",9948
330,"Rossi, Peter E.",9949
331,"Allen, Robert C.",9950
332,"CONRAD, AH",9951
333,"SPENCE, M",9952
334,"URIBE, P",9953
335,"Lerner, Eugene M.",9954
336,"Atkin, David",9955
337,"Beny, Laura N.",9956
338,"BROWN, AJ",9957
339,"Carpenter, RE",9958
340,"LAURY, JSE",9959
341,"Mas, Alexandre",9960
342,"Wu, Weixing",9961
343,"Worcester, Dean A., Jr.",9962
344,"MILLWARD, R",9963
345,"Courty, Pascal",9964
346,"Coulibaly, Brahima",9965
347,"HEIM, P",9966
348,"Guembel, Alexander",9967
349,"Epstein, SR",9968
350,"Minetti, Raoul",9969
351,"OBRIEN, A",9970
352,"Johansson, Per",9971
353,"Conti, Gabriella",9972
354,"Miller, Glenn W.",9973
355,"Busch, SH",9974
356,"Reinhart, Vincent",9975
357,"BAUWENS, L",9976
358,"PRELEC, D",9977
359,"Wonnacott, RJ",9978
360,"Battistin, Erich",9979
361,"Verhoogen, Eric",9980
362,"BRENNAN, G",9981
363,"Satterthwaite, Mark A.",9982
364,"ALLEN, H",9983
365,"Guell, Maia",9984
366,"Miller, Douglas L.",9985
367,"LIEBOWITZ, SJ",9986
368,"Abowd, JM",9987
369,"Castello-Climent, Amparo",9988
370,"BRITO, DL",9989
371,"Martinez, Leonardo",9990
372,"Jamison, Julian C.",9991
373,"Rosenstein-Rodan, P. N.",9992
374,"Anderson, Simon P.",9993
375,"Holmlund, Helena",9994
376,"Clapp, JM",9995
377,Hu Luojia,9996
378,"GOLDFELD, SM",9997
379,"De Nardi, Mariacristina",9998
380,"WITTE, AD",9999
381,"Wilcox, James A.",10000
382,"Denison, Edward F.",10001
383,"WERDEN, GJ",10002
384,"Cross, PJ",10003
385,"Wooldridge, JM",10004
386,"SPRAOS, J",10005
387,"EVANS, GJ",10006
