,metadata,last name,first name
175,"Tsiang, Sc",Tsiang, Sc
176,"Jacoby, Nh",Jacoby, Nh
177,"White, Wh",White, Wh
179,"Bodenhorn, D",Bodenhorn, D
180,"Bauer, Pt",Bauer, Pt
181,"Weintraub, S",Weintraub, S
183,"Wemelsfelder, J",Wemelsfelder, J
185,"Ellsberg, D",Ellsberg, D
186,"Grampp, Wd",Grampp, Wd
187,"Suranyiunger, T",Suranyiunger, T
188,"Fellner, W",Fellner, W
189,"Reid, Mg",Reid, Mg
190,"Boiteux, M",Boiteux, M
192,"Majumdar, T",Majumdar, T
193,"Simon, Ha",Simon, Ha
194,[Anonymous],[Anonymous],MISSING
195,"Kemeny, Jg",Kemeny, Jg
196,"Morgenstern, O",Morgenstern, O
197,"Thompson, Gl",Thompson, Gl
198,"Hirsch, Wz",Hirsch, Wz
199,"Harsanyi, Jc",Harsanyi, Jc
200,"Tizard, Rh",Tizard, Rh
201,"Beckerman, W",Beckerman, W
202,"Freund, Rj",Freund, Rj
203,"Vandantzig, D",Vandantzig, D
204,"Banerjee, Ks",Banerjee, Ks
205,"Fei, Jch",Fei, Jch
207,"Burger, E",Burger, E
208,"Harrod, Rf",Harrod, Rf
209,"Einzig, P",Einzig, P
210,"Rostow, Ww",Rostow, Ww
211,"Norton, Fe",Norton, Fe
212,"Brumberg, Re",Brumberg, Re
213,"Sherwood, Pw",Sherwood, Pw
214,"Ponsonby, Gj",Ponsonby, Gj
215,"Meek, Rl",Meek, Rl
217,"Shackle, Gls",Shackle, Gls
218,"Penrose, Et",Penrose, Et
219,"Youngson, Aj",Youngson, Aj
220,"Wiles, P",Wiles, P
221,"Enthoven, Ac",Enthoven, Ac
222,"Farnsworth, Hc",Farnsworth, Hc
223,"Jones, Wo",Jones, Wo
224,"Hutchison, Tw",Hutchison, Tw
226,"Walker, G",Walker, G
228,"Richardson, Jh",Richardson, Jh
229,"Adams, Aa",Adams, Aa
230,"Stewart, Ig",Stewart, Ig
231,"Bruton, Hj",Bruton, Hj
232,"Nicholson, Rj",Nicholson, Rj
233,"Hawtrey, Rg",Hawtrey, Rg
