,metadata,Clean Name,Possible Match,Possible Sex
2760,"Edelson, Nm", Nm Edelson,Noel M. Edelson,Male
2761,"Goetz, Cj", Cj Goetz,Christopher F. Goetz,Male
2762,"Carleton, Wt", Wt Carleton,Willard T. Carleton,Male
2763,"Bryan, Wr", Wr Bryan,William R. Bryan,Male
2764,"Craine, R", R Craine,,
2765,"Bertrand, Tj", Tj Bertrand,Trent J. Bertrand,Male
2766,"Coelho, Prp", Prp Coelho,,
2767,"Ghali, Ma", Ma Ghali,,
2768,"Taubman, P", P Taubman,Paul J. Taubman,Male
2769,"Rasche, R", R Rasche,,
2770,Pattanai.Pk,MISSING Pattanai.Pk,,
2771,"Keesing, Db", Db Keesing,Donald B. Keesing,Male
2772,"Sherk, Dr", Dr Sherk,,
2773,"Truett, Db", Db Truett,,
2774,"Landon, Jh", Jh Landon,,
2775,"Baird, Rn", Rn Baird,Sarah Baird,Female
2776,"Polinsky, Am", Am Polinsky,A. Mitchell Polinsky,Male
2777,"Wolkowitz, B", B Wolkowitz,,
2778,"Lee, R", R Lee,,
2779,"Chetty, Vk", Vk Chetty,V. K. Chetty,Male
2780,"Wegge, Ll", Ll Wegge,Leon L. Wegge,Male
2781,"Blattberg, R", R Blattberg,,
2782,"Sargent, T", T Sargent,Thomas J. Sargent,Male
2783,"Treadway, Ab", Ab Treadway,,
2784,"Richardson, Dh", Dh Richardson,D. H. Richardson,Male
2785,"Albin, Ps", Ps Albin,,
2786,"Lydall, H", H Lydall,,
2787,"Pickering, Jf", Jf Pickering,,
2788,"Pyatt, G", G Pyatt,Graham Pyatt,Male
2789,"Flemming, Js", Js Flemming,John S. Flemming,Male
2790,"Wright, Jf", Jf Wright,,
2791,"Walters, Aa", Aa Walters,Alan Arthur Walters,Male
2792,"Barker, Ts", Ts Barker,,
2793,"Han, Ss", Ss Han,,
2794,"Eshag, E", E Eshag,,
2795,"Fry, Mj", Mj Fry,,
2796,"Groenewegen, Pd", Pd Groenewegen,,
2797,"Lee, Jk", Jk Lee,,
2798,"Eltis, Wa", Wa Eltis,,
2799,"Livesey, Da", Da Livesey,,
2800,"Radice, Hk", Hk Radice,,
2801,"Dalton, G", G Dalton,,
2802,"Currie, Jm", Jm Currie,Janet Currie,Female
2803,"Murphy, Ja", Ja Murphy,,
2804,"Hyse, R", R Hyse,,
2805,"Deserpa, Ac", Ac Deserpa,,
2806,"Lee, G", G Lee,,
2807,"Loasby, Bj", Bj Loasby,,
2808,"Currie, L", L Currie,Janet Currie,Female
2809,Zeckhaus.Rj,MISSING Zeckhaus.Rj,,
2810,Moorhous.Jc,MISSING Moorhous.Jc,,
2811,"Boulakia, Jd", Jd Boulakia,,
2812,"Falero, F", F Falero,,
2813,"Williamson, Jg", Jg Williamson,Jeffrey G. Williamson,Male
2814,"Melvin, Jr", Jr Melvin,James R. Melvin,Male
2815,"Roper, De", De Roper,Don E. Roper,Male
2816,"Devletoglou, Ne", Ne Devletoglou,,
2817,"Demeyer, F", F Demeyer,,
2818,"Plott, Cr", Cr Plott,Charles R. Plott,Male
2819,"Bacha, E", E Bacha,,
2820,"Taylor, L", L Taylor,,
2821,"Warne, Rd", Rd Warne,,
2822,"Wolf, Cr", Cr Wolf,,
2823,"Stone, Jm", Jm Stone,Jeremy J. Stone,Male
2824,"Thurow, Lc", Lc Thurow,Lester C. Thurow,Male
2825,"Minabe, S", S Minabe,,
2826,"Cornwall, J", J Cornwall,,
2827,"Darling, P", P Darling,,
2828,"Lovell, Mc", Mc Lovell,Michael C. Lovell,Male
2829,"Robinson, S", S Robinson,,
2830,"Rothenberg, Tj", Tj Rothenberg,Thomas J. Rothenberg,Male
2831,"Smith, Kr", Kr Smith,,
2832,"Berhold, M", M Berhold,,
2833,"Conlisk, J", J Conlisk,John Conlisk,Male
2834,"Cohen, Bj", Bj Cohen,Benjamin I. Cohen,Male
2835,"Papanek, Gf", Gf Papanek,Gustav F. Papanek,Male
2836,"Caves, Re", Re Caves,Richard E. Caves,Male
2837,"Yamey, Bs", Bs Yamey,Basil S. Yamey,Male
2838,"Fisher, In", In Fisher,,
2839,"Hall, Gr", Gr Hall,George Hall,Male
2840,"Byerlee, Dr", Dr Byerlee,,
2841,"Cicchetti, Cj", Cj Cicchetti,Charles J. Cicchetti,Male
2842,"Freeman, Am", Am Freeman,,
2843,"Polzin, P", P Polzin,,
2844,Macdonal.P,MISSING Macdonal.P,,
2845,"Rothschild, M", M Rothschild,Michael Rothschild,Male
2846,"Magee, Sp", Sp Magee,Stephen P. Magee,Male
2847,"Gupta, Kl", Kl Gupta,Kanhaya L. Gupta,Male
2848,"Hamada, Rs", Rs Hamada,Koichi Hamada,Male
2849,"Friedman, Jw", Jw Friedman,,
2850,"Caton, C", C Caton,Christopher Caton,Male
2851,"Shell, K", K Shell,Karl Shell,Male
2852,"Bergstrom, T", T Bergstrom,Theodore C. Bergstrom,Male
2853,"Smyth, Dj", Dj Smyth,David John Smyth,Male
2854,"Cigno, A", A Cigno,Alessandro Cigno,Male
2855,"Grubel, Hg", Hg Grubel,Herbert G. Grubel,Male
2856,"Lloyd, Pj", Pj Lloyd,Cliff Lloyd,Male
2857,"Tan, Ahh", Ahh Tan,,
2858,"Auster, Rd", Rd Auster,,
2859,"Manning, R", R Manning,Richard Manning,Male
2860,"Myers, Mg", Mg Myers,,
2861,"Weintraub, Er", Er Weintraub,,
2862,"Dreze, Jh", Jh Dreze,,
2863,Delavall.D,MISSING Delavall.D,,
2864,"Hall, Re", Re Hall,Robert E. Hall,Male
2865,"Craven, J", J Craven,John Craven,Male
2866,"Heal, Gm", Gm Heal,Geoffrey Heal,Male
2867,"Gordon, E", E Gordon,,
2868,"Yaari, Me", Me Yaari,Menahem E. Yaari,Male
2869,"Uhler, Rs", Rs Uhler,Russell S. Uhler,Male
2870,"Cragg, Jg", Jg Cragg,John G. Cragg,Male
2871,"Beja, A", A Beja,Avraham Beja,Male
2872,"Agnew, Ra", Ra Agnew,Julie Agnew,Female
2873,"Heller, Wp", Wp Heller,Walter Perrin Heller,Male
2874,"Hadjimichalakis, Mg", Mg Hadjimichalakis,Michael G. Hadjimichalakis,Male
2875,"Rosett, Rn", Rn Rosett,Richard N. Rosett,Male
2876,"Ruffin, Rj", Rj Ruffin,Roy J. Ruffin,Male
2877,"Walker, Donald A.", Donald A. Walker,Donald A. Walker,Male
2878,"Engerman, Stanley L.", Stanley L. Engerman,,
2879,"Nelson, Charles R.", Charles R. Nelson,Charles R. Nelson,Male
2880,"Krzyzaniak, M.", M. Krzyzaniak,,
2881,"Musgrave, R. A.", R. A. Musgrave,,
2882,"Cragg, John G.", John G. Cragg,John G. Cragg,Male
2883,"Harberger, Arnold C.", Arnold C. Harberger,Arnold C. Harberger,Male
2884,"Mieszkowski, Peter", Peter Mieszkowski,Peter M. Mieszkowski,Male
2885,"Cohn, Elchanan", Elchanan Cohn,Alain Cohn,Male
2886,"Bischoff, Cw", Cw Bischoff,,
2887,"Diwan, Rk", Rk Diwan,,
2888,"Hamburger, Mj", Mj Hamburger,Michael J. Hamburger,Male
2889,"Holbrook, R", R Holbrook,Robert S. Holbrook,Male
2890,"Shapiro, H", H Shapiro,,
2891,"Foley, Dk", Dk Foley,Duncan K. Foley,Male
2892,"Sidrauski, M", M Sidrauski,Miguel Sidrauski,Male
2893,"Zecher, R", R Zecher,,
2894,"Norton, Rd", Rd Norton,Michael I. Norton,Male
2895,"Newhouse, Jp", Jp Newhouse,Joseph P. Newhouse,Male
2896,"Blitzer, Cr", Cr Blitzer,,
2897,"Cetin, H", H Cetin,,
2898,"Polenske, Kr", Kr Polenske,,
2899,"Grether, Et", Et Grether,David M. Grether,Male
2900,"Singer, Em", Em Singer,,
2901,"Grabowski, H", H Grabowski,Henry G. Grabowski,Male
2902,"Mueller, D", D Mueller,Dennis C. Mueller,Male
2903,"Christy, Ft", Ft Christy,,
2904,"Rothenberg, J", J Rothenberg,Thomas J. Rothenberg,Male
2905,"Zajac, Ee", Ee Zajac,,
2906,"Vernon, R", R Vernon,Raymond Vernon,Male
2907,"Harris, Jr", Jr Harris,,
2908,"Todaro, Mp", Mp Todaro,,
2909,"Orcutt, Gh", Gh Orcutt,Guy H. Orcutt,Male
2910,"Juster, Ft", Ft Juster,F. Thomas Juster,Male
2911,"Holmes, Ra", Ra Holmes,,
2912,"Holt, Cc", Cc Holt,,
2913,"Fama, Ef", Ef Fama,Eugene F. Fama,Male
2914,"Diazalejandro, Cf", Cf Diazalejandro,,
2915,"Cohen, Ss", Ss Cohen,,
2916,"Bower, Jl", Jl Bower,,
2917,"Crouch, Rl", Rl Crouch,Robert L. Crouch,Male
2918,"Peck, Mj", Mj Peck,,
2919,"Wolff, Rd", Rd Wolff,Edward N. Wolff,Male
2920,"Santos, Td", Td Santos,Tano Santos,Male
2921,"Morris, Ct", Ct Morris,Stephen Morris,Male
2922,"Magdoff, H", H Magdoff,,
2923,"Fleisher, Bm", Bm Fleisher,,
2924,"Smith, Jd", Jd Smith,,
2925,"Dixit, Ak", Ak Dixit,Avinash K. Dixit,Male
2926,"Vermeulen, Frederic", Frederic Vermeulen,Frederic Vermeulen,Male
2927,"Afriat, S. N.", S. N. Afriat,Sydney N. Afriat,Male
2928,"Diewert, W. Erwin", W. Erwin Diewert,W. Erwin Diewert,Male
2929,"Varian, Hal R.", Hal R. Varian,Hal R. Varian,Male
2930,"Gibson, John", John Gibson,,
2931,"Mckenzie, David", David Mckenzie,,
2932,"Beckert, Walter", Walter Beckert,Walter Beckert,Male
2933,"Christensen, Mette", Mette Christensen,Laurits R. Christensen,Male
2934,"Collyer, Kate", Kate Collyer,,
2935,"Van Rooij, Maarten C. J.", Maarten C. J. Van Rooij,,
2936,"Alessie, Rob J. M.", Rob J. M. Alessie,,
2937,"Winter, Joachim K.", Joachim K. Winter,Joachim Winter,Male
2938,"Schlafmann, Kathrin", Kathrin Schlafmann,,
2939,"Rodepeter, Ralf", Ralf Rodepeter,,
2940,"Cantoni, Davide", Davide Cantoni,Davide Cantoni,Male
2941,"Dixon, Huw", Huw Dixon,Huw Dixon,Male
2942,"Le Bihan, Herve", Herve Le Bihan,,
2943,"Obstfeld, Maurice", Maurice Obstfeld,Maurice Obstfeld,Male
2944,"De Grip, Andries", Andries De Grip,,
2945,"Sauermann, Jan", Jan Sauermann,,
2946,"Banks, James", James Banks,,
2947,"Mazzonna, Fabrizio", Fabrizio Mazzonna,,
2948,"Lindeboom, Maarten", Maarten Lindeboom,Maarten Lindeboom,Male
2949,"Montizaan, Raymond", Raymond Montizaan,,
2950,"Attanasio, Orazio", Orazio Attanasio,Orazio P. Attanasio,Male
2951,"Battistin, Erich", Erich Battistin,Erich Battistin,Male
2952,"Mesnard, Alice", Alice Mesnard,,
2953,"Henderson, Daniel J.", Daniel J. Henderson,Dale W. Henderson,Male
2954,"Papageorgiou, Chris", Chris Papageorgiou,,
2955,"Parmeter, Christopher F.", Christopher F. Parmeter,,
2956,"Farmer, Roger E. A.", Roger E. A. Farmer,Roger E. A. Farmer,Male
2957,"Pagnozzi, Marco", Marco Pagnozzi,,
2958,"Piccolo, Salvatore", Salvatore Piccolo,,
2959,"Belenzon, Sharon", Sharon Belenzon,,
2960,"Ornelas, Emanuel", Emanuel Ornelas,Emanuel Ornelas,Male
2961,"Turner, John L.", John L. Turner,John A. Turner,Male
2962,"De Mel, Suresh", Suresh De Mel,,
2963,"Woodruff, Christopher", Christopher Woodruff,Christopher Woodruff,Male
2964,"Lavy, Victor", Victor Lavy,Victor Lavy,Male
2965,"Schlosser, Analia", Analia Schlosser,Analía Schlosser,Female
2966,"Kirsanova, Tatiana", Tatiana Kirsanova,Tatiana Kirsanova,Female
2967,"Wren-Lewis, Simon", Simon Wren-Lewis,,
2968,"Bunn, Philip", Philip Bunn,,
2969,"Ellis, Colin", Colin Ellis,Christopher J. Ellis,Male
2970,"Fiori, Giuseppe", Giuseppe Fiori,,
2971,"Nicoletti, Giuseppe", Giuseppe Nicoletti,,
2972,"Scarpetta, Stefano", Stefano Scarpetta,Stefano Scarpetta,Male
2973,"Schiantarelli, Fabio", Fabio Schiantarelli,Fabio Schiantarelli,Male
2974,"Nolen, Patrick", Patrick Nolen,,
2975,"Belot, Michele", Michele Belot,,
2976,"Van De Ven, Jeroen", Jeroen Van De Ven,,
2977,"Funk, Patricia", Patricia Funk,,
2978,"Gathmann, Christina", Christina Gathmann,,
2979,"Benjamin, Dwayne", Dwayne Benjamin,,
2980,"Brandt, Loren", Loren Brandt,Loren Brandt,Male
2981,"Giles, John", John Giles,,
2982,"Kirchkamp, Oliver", Oliver Kirchkamp,,
2983,"Reiss, J. Philipp", J. Philipp Reiss,Peter C. Reiss,Male
2984,"Mitchell, James", James Mitchell,Joshua W. Mitchell,Male
2985,"Pain, Nigel", Nigel Pain,,
2986,"Riley, Rebecca", Rebecca Riley,John G. Riley,Male
2987,"Harding, Torfinn", Torfinn Harding,,
2988,"Javorcik, Beata S.", Beata S. Javorcik,Beata Smarzynska Javorcik,Female
2989,"Cheron, Arnaud", Arnaud Cheron,Arnaud Cheron,Male
2990,"Hairault, Jean-Olivier", Jean-Olivier Hairault,,
2991,"Langot, Francois", Francois Langot,,
2992,"Drelichman, Mauricio", Mauricio Drelichman,,
2993,"Rubin, Jared", Jared Rubin,Jared Rubin,Male
2994,"Fabra, Natalia", Natalia Fabra,Natalia Fabra,Female
2995,"Von Der Fehr, Nils-Henrik M.", Nils-Henrik M. Von Der Fehr,,
2996,"De Frutos, Maria-Angeles", Maria-Angeles De Frutos,,
2997,"Eugster, Beatrix", Beatrix Eugster,,
2998,"Steinhauer, Andreas", Andreas Steinhauer,Andreas Steinhauer,Male
2999,"Rhodes, Andrew", Andrew Rhodes,Andrew Rhodes,Male
3000,"Stutzer, Alois", Alois Stutzer,Michael Stutzer,Male
3001,"Zehnder, Michael", Michael Zehnder,Christian Zehnder,Male
3002,"Armstrong, Mark", Mark Armstrong,Mark Armstrong,Male
3003,"Zhou, Jidong", Jidong Zhou,,
3004,"Baye, Michael R.", Michael R. Baye,Michael R. Baye,Male
3005,"Gao, Xiaxun", Xiaxun Gao,,
3006,"He, Chuan", Chuan He,,
3007,"Jeanne, Olivier", Olivier Jeanne,Olivier Jeanne,Male
3008,"Ranciere, Romain", Romain Ranciere,,
3009,"Barone, Guglielmo", Guglielmo Barone,,
3010,"Cingano, Federico", Federico Cingano,,
3011,"Fadinger, Harald", Harald Fadinger,Harald Fadinger,Male
3012,"Reiss, Pablo", Pablo Reiss,Peter C. Reiss,Male
3013,"Mezzetti, Claudio", Claudio Mezzetti,Claudio Mezzetti,Male
3014,"Cherchye, Laurens", Laurens Cherchye,Laurens Cherchye,Male
3015,"Demuynck, Thomas", Thomas Demuynck,,
3016,"De Rock, Bram", Bram De Rock,,
3017,"Bidner, Chris", Chris Bidner,Chris Bidner,Male
3018,"Francois, Patrick", Patrick Francois,Patrick Francois,Male
3019,"Buffie, Edward F.", Edward F. Buffie,,
3020,"Alolia, Manoj", Manoj Alolia,,
3021,"Branstetter, Lee", Lee Branstetter,Lee G. Branstetter,Male
3022,"Saggi, Kamal", Kamal Saggi,,
3023,"Healy, Andrew", Andrew Healy,Paul J. Healy,Male
3024,"Pate, Jennifer", Jennifer Pate,,
3025,"Duranton, Gilles", Gilles Duranton,Gilles Duranton,Male
3026,"Gobillon, Laurent", Laurent Gobillon,Laurent Gobillon,Male
3027,"Overman, Henry G.", Henry G. Overman,Henry G. Overman,Male
3028,"Kilian, Lutz", Lutz Kilian,Lutz Kilian,Male
3029,"Lewis, Logan T.", Logan T. Lewis,,
3030,"Bonke, Jens", Jens Bonke,,
3031,"Browning, Martin", Martin Browning,Martin J. Browning,Male
3032,"Cooper, Zack", Zack Cooper,,
3033,"Gibbons, Stephen", Stephen Gibbons,,
3034,"Jones, Simon", Simon Jones,Stephen R. G. Jones,Male
3035,"Mcguire, Alistair", Alistair Mcguire,,
3036,"Frankenberg, Elizabeth", Elizabeth Frankenberg,,
3037,"Gillespie, Thomas", Thomas Gillespie,,
3038,"Preston, Samuel", Samuel Preston,,
3039,"Sikoki, Bondan", Bondan Sikoki,,
3040,"Laroque, Guy", Guy Laroque,Guy Laroque,Male
3041,"Manski, Charles F.", Charles F. Manski,Charles F. Manski,Male
3042,"Den Haan, Wouter J.", Wouter J. Den Haan,,
3043,"Sterk, Vincent", Vincent Sterk,,
3044,"Karabarbounis, Loukas", Loukas Karabarbounis,Loukas Karabarbounis,Male
3045,"Jappelli, Tullio", Tullio Jappelli,Tullio Jappelli,Male
3046,"Strausz, Roland", Roland Strausz,Roland Strausz,Male
3047,"Ellis, Christopher J.", Christopher J. Ellis,Christopher J. Ellis,Male
3048,"Fender, John", John Fender,John Fender,Male
3049,"Kawamura, Kohei", Kohei Kawamura,,
3050,"Wolff, Hendrik", Hendrik Wolff,Edward N. Wolff,Male
3051,"Chong, Howard", Howard Chong,,
3052,"Auffhammer, Maximilian", Maximilian Auffhammer,Maximilian Auffhammer,Male
3053,"Dauphin, Anyck", Anyck Dauphin,,
3054,"El Lahga, Abdel-Rahmen", Abdel-Rahmen El Lahga,,
3055,"Fortin, Bernard", Bernard Fortin,Bernard Fortin,Male
3056,"Lacroix, Guy", Guy Lacroix,Guy Lacroix,Male
3057,"Diamond, Peter", Peter Diamond,Peter A. Diamond,Male
3058,"Mortensen, Dale T.", Dale T. Mortensen,Dale T. Mortensen,Male
3059,"Haufler, Andreas", Andreas Haufler,,
3060,"Mittermaier, Ferdinand", Ferdinand Mittermaier,,
3061,"Clark, K", K Clark,Kim B. Clark,Male
3062,"Leslie, D", D Leslie,Phillip Leslie,Male
3063,"Symons, E", E Symons,,
3064,"Gregory, A", A Gregory,,
3065,"Matatko, J", J Matatko,,
3066,"Purkis, R", R Purkis,,
3067,"Bernasconi, M", M Bernasconi,,
3068,"Border, Kc", Kc Border,Kim C. Border,Male
3069,"Segal, U", U Segal,Uzi Segal,Male
3070,"Phillips, Gm", Gm Phillips,Garry David Alan Phillips,Male
3071,"Weiner, Rj", Rj Weiner,,
3072,"Winters, La", La Winters,L. Alan Winters,Male
3073,"Vetter, H", H Vetter,,
3074,"Andersen, Tm", Tm Andersen,,
3075,"Norrbin, Sc", Sc Norrbin,,
3076,"Wilcox, Nt", Nt Wilcox,Nathaniel T. Wilcox,Male
3077,"Pesaran, B", B Pesaran,M. Hashem Pesaran,Male
3078,"Robinson, G", G Robinson,,
3079,"Antoniou, A", A Antoniou,,
3080,"Garrett, I", I Garrett,Daniel F. Garrett,Male
3081,"Wang, Y", Y Wang,,
3082,"Cuthbertson, K", K Cuthbertson,,
3083,"Gasparro, D", D Gasparro,,
3084,"Laing, D", D Laing,Derek Laing,Male
3085,"Rayner, Aj", Aj Rayner,Anthony John Rayner,Male
3086,"Ingersent, Ka", Ka Ingersent,,
3087,"Hine, Rc", Rc Hine,,
3088,"Hoekman, Bm", Bm Hoekman,,
3089,"Nguyen, T", T Nguyen,,
3090,"Perroni, C", C Perroni,Carlo Perroni,Male
3091,"Wigle, R", R Wigle,Randall M. Wigle,Male
3092,"Friedland, C", C Friedland,Claire Friedland,Female
3093,"Sowell, T", T Sowell,Fallaw Sowell,Male
3094,"Peltzman, S", S Peltzman,Sam Peltzman,Male
3095,"Broder, Ie", Ie Broder,,
3096,"Cole, N", N Cole,,
3097,"Cobbclark, Da", Da Cobbclark,,
3098,"Chakrabarti, S", S Chakrabarti,Subir. K. Chakrabarti,Male
3099,"Lord, W", W Lord,,
3100,"Rangazas, P", P Rangazas,,
3101,"Horowitz, Aw", Aw Horowitz,Joel L. Horowitz,Male
3102,"Malueg, Da", Da Malueg,David A. Malueg,Male
3103,"Russett, B", B Russett,,
3104,"Bomberger, Wa", Wa Bomberger,William A. Bomberger,Male
3105,"Shin, Hs", Hs Shin,,
3106,"Lindberg, H", H Lindberg,,
3107,"Soderlind, P", P Soderlind,,
3108,"Svensson, Leo", Leo Svensson,,
3109,"Burgess, Sm", Sm Burgess,,
3110,"Gravelle, H", H Gravelle,Jane G. Gravelle,Female
3111,"Waterson, M", M Waterson,Michael Waterson,Male
3112,"Bockstael, Ne", Ne Bockstael,,
3113,"Mcconnell, Ke", Ke Mcconnell,,
3114,"Steedman, H", H Steedman,,
3115,"Lynch, Lm", Lm Lynch,,
3116,"Rees, R", R Rees,Ray Rees,Male
3117,"Bullard, J", J Bullard,James Bullard,Male
3118,"Butler, A", A Butler,,
3119,"Kagel, Jh", Jh Kagel,John H. Kagel,Male
3120,"Levin, D", D Levin,Dan Levin,Male
3121,"Lynde, C", C Lynde,,
3122,"Pashardes, P", P Pashardes,Panos Pashardes,Male
3123,"Macklem, Rt", Rt Macklem,,
3124,"Kahana, N", N Kahana,,
3125,"Nitzan, S", S Nitzan,,
3126,"Fershtman, C", C Fershtman,Chaim Fershtman,Male
3127,"Bertocchi, G", G Bertocchi,,
3128,"Foster, J", J Foster,James E. Foster,Male
3129,"Button, Kj", Kj Button,,
3130,"Keeler, Te", Te Keeler,Theodore E. Keeler,Male
3131,"Good, Dh", Dh Good,,
3132,"Roller, Lh", Lh Roller,,
3133,"Sickles, Rc", Rc Sickles,Robin C. Sickles,Male
3134,"Nash, Ca", Ca Nash,,
3135,"Krugman, Pr", Pr Krugman,Paul R. Krugman,Male
3136,"Orr, D", D Orr,Daniel Orr,Male
3137,"Houseman, Sn", Sn Houseman,,
3138,"Kahn, S", S Kahn,,
3139,"Gupta, Nd", Nd Gupta,,
3140,"Abram, Tg", Tg Abram,,
3141,"Killingsworth, Mr", Mr Killingsworth,Mark R. Killingsworth,Male
3142,"Follett, Rs", Rs Follett,,
3143,"Ward, Mp", Mp Ward,Michael P. Ward,Male
3144,"Smith, Jp", Jp Smith,,
3145,"Loury, G", G Loury,Glenn C. Loury,Male
3146,"Loury, Ld", Ld Loury,Glenn C. Loury,Male
3147,"Garman, D", D Garman,,
3148,"Topel, R", R Topel,Robert H. Topel,Male
3149,"Burtless, G", G Burtless,Gary Burtless,Male
3150,"Stark, O", O Stark,Oded Stark,Male
3151,"Klevorick, Ak", Ak Klevorick,Alvin K. Klevorick,Male
3152,"Salop, Sc", Sc Salop,Steven C. Salop,Male
3153,"Hay, Ga", Ga Hay,George A. Hay,Male
3154,"Werden, Gj", Gj Werden,,
3155,"Hausman, J", J Hausman,Jerry A. Hausman,Male
3156,"Tardiff, T", T Tardiff,,
3157,"Belinfante, A", A Belinfante,,
3158,"Taylor, We", We Taylor,William E. Taylor,Male
3159,"Taylor, Ld", Ld Taylor,,
3160,"Braeutigam, Rr", Rr Braeutigam,,
3161,"Panzar, Jc", Jc Panzar,,
3162,"Brunner, Ad", Ad Brunner,Antje Brunner,Female
3163,"Lown, Cs", Cs Lown,Cara S. Lown,Female
3164,"Boot, Awa", Awa Boot,Arnoud W. A. Boot,Male
3165,"Thakor, Av", Av Thakor,Anjan V. Thakor,Male
3166,"Eden, B", B Eden,Benjamin Eden,Male
3167,"Mayshar, J", J Mayshar,Joram Mayshar,Male
3168,"Solon, G", G Solon,Gary Solon,Male
3169,"Hendricks, K", K Hendricks,Kenneth Hendricks,Male
3170,"Porter, Rh", Rh Porter,,
3171,"Pakes, A", A Pakes,Ariel Pakes,Male
3172,"Berry, S", S Berry,Steven T. Berry,Male
3173,"Levinsohn, Ja", Ja Levinsohn,James A. Levinsohn,Male
3174,"Austin, Dh", Dh Austin,,
3175,"Hall, Bh", Bh Hall,,
3176,"Megna, P", P Megna,,
3177,"Klock, M", M Klock,,
3178,"Hansen, Gd", Gd Hansen,Gary D. Hansen,Male
3179,"Prescott, Ec", Ec Prescott,,
3180,"Helliwell, Jf", Jf Helliwell,John Helliwell,Male
3181,"Taylor, Jb", Jb Taylor,,
3182,"Reilly, J", J Reilly,John M. Reilly,Male
3183,"Hohmann, N", N Hohmann,Neil Hohmann,Male
3184,"Gaskins, Dw", Dw Gaskins,,
3185,"Weyant, Jp", Jp Weyant,,
3186,"Mokyr, J", J Mokyr,,
3187,"Pope, Cl", Cl Pope,,
3188,"Rodrik, D", D Rodrik,Dani Rodrik,Male
3189,"Mcculloch, R", R Mcculloch,,
3190,"Mussa, M", M Mussa,Michael Mussa,Male
3191,"Squire, L", L Squire,,
3192,"Pritchett, Lh", Lh Pritchett,Lant Pritchett,Male
3193,"Besley, T", T Besley,Timothy J. Besley,Male
3194,"Shleifer, A", A Shleifer,Andrei Shleifer,Male
3195,"Vishny, Rw", Rw Vishny,Robert W. Vishny,Male
3196,"Mundlak, Y", Y Mundlak,Yair Mundlak,Male
3197,"Scott, Mfg", Mfg Scott,Anthony D. Scott,Male
3198,"Levine, R", R Levine,Ross Levine,Male
3199,"Zervos, Sj", Sj Zervos,David Zervos,Male
3200,"Dollar, D", D Dollar,David Dollar,Male
3201,"Leamer, Ee", Ee Leamer,Edward E. Leamer,Male
3202,"Tybout, Jr", Jr Tybout,James R. Tybout,Male
3203,"Hummels, D", D Hummels,David L. Hummels,Male
3204,"Levinsohn, J", J Levinsohn,James A. Levinsohn,Male
3205,"Kortum, S", S Kortum,Samuel S. Kortum,Male
3206,"Adams, Jd", Jd Adams,James D. Adams,Male
3207,"Evenson, Re", Re Evenson,Robert E. Evenson,Male
3208,"Vonderfehr, Nhm", Nhm Vonderfehr,,
3209,"Harbord, D", D Harbord,,
3210,"Dickhaut, J", J Dickhaut,John W. Dickhaut,Male
3211,"Martin, A", A Martin,Alberto Martin,Male
3212,"Senkow, D", D Senkow,,
3213,"Sevcik, G", G Sevcik,,
3214,"Andreoni, J", J Andreoni,James Andreoni,Male
3215,"Miller, Jh", Jh Miller,,
3216,"Dwyer, Gp", Gp Dwyer,,
3217,"Williams, Aw", Aw Williams,,
3218,"Mason, Ti", Ti Mason,,
3219,"Bell, La", La Bell,,
3220,"Hirshleifer, D", D Hirshleifer,David Hirshleifer,Male
3221,"Subrahmanyam, A", A Subrahmanyam,Marti G. Subrahmanyam,Male
3222,"Dow, J", J Dow,James Dow,Male
3223,"Gorton, G", G Gorton,Gary Gorton,Male
3224,"Meade, J", J Meade,,
3225,"Honohan, P", P Honohan,,
3226,"Atiyas, I", I Atiyas,,
3227,"Balk, Bm", Bm Balk,Bert M. Balk,Male
3228,"Barr, N", N Barr,,
3229,"Granger, Cwj", Cwj Granger,Clive W. J. Granger,Male
3230,"Agenor, Pr", Pr Agenor,,
3231,"Anand, P", P Anand,,
3232,"Dekock, G", G Dekock,,
3233,"Grilli, V", V Grilli,,
3234,"Fry, V", V Fry,,
3235,"Driffill, J", J Driffill,John Driffill,Male
3236,"Martin, C", C Martin,,
3237,"Hodges, S", S Hodges,,
3238,"Carverhill, A", A Carverhill,,
3239,"Hallett, Ajh", Ajh Hallett,,
3240,"Ma, Y", Y Ma,Ching-to Albert Ma,Male
3241,"Webb, S", S Webb,David C. Webb,Male
3242,"Lamanna, Mma", Mma Lamanna,,
3243,"Prendergast, R", R Prendergast,Canice Prendergast,Male
3244,"Sarantis, N", N Sarantis,,
3245,"Swann, P", P Swann,,
3246,"Thirtle, C", C Thirtle,,
3247,"Atkins, J", J Atkins,,
3248,"Bottomley, P", P Bottomley,,
3249,"Gonese, N", N Gonese,,
3250,"Govereh, J", J Govereh,,
3251,"Khatri, Y", Y Khatri,,
3252,"Treble, Jg", Jg Treble,,
3253,"Vicary, S", S Vicary,,
3254,"Vos, R", R Vos,,
3255,"Cornes, R", R Cornes,Richard C. Cornes,Male
3256,"Waldman, M", M Waldman,Michael Waldman,Male
3257,"Rosenzweig, Mr", Mr Rosenzweig,Mark R. Rosenzweig,Male
3258,"Persson, T", T Persson,Torsten Persson,Male
3259,"Vanwijnbergen, S", S Vanwijnbergen,,
3260,"Manning, A", A Manning,Alan Manning,Male
3261,"Mclaren, J", J Mclaren,,
