,metadata,ArticleID,index,last name,first name,AuthorName
103,"Bhagwati, J",11818,,Bhagwati, J, J Bhagwati
104,"Kaldor, N",11819,,Kaldor, N, N Kaldor
105,"Cramer, Js",11820,,Cramer, Js, Js Cramer
106,"Nettl, Jp",11821,,Nettl, Jp, Jp Nettl
107,"Black, J",11822,,Black, J, J Black
108,"Dejasay, Ae",11822,,Dejasay, Ae, Ae Dejasay
109,"Rose, H",11823,,Rose, H, H Rose
110,"Dickinson, Hd",11824,,Dickinson, Hd, Hd Dickinson
111,"Brems, H",11825,,Brems, H, H Brems
112,"Pitchford, Jd",11826,,Pitchford, Jd, Jd Pitchford
113,"Seton, F",11827,,Seton, F, F Seton
114,"Spraos, J",11828,,Spraos, J, J Spraos
115,"Gilbert, Jc",11829,,Gilbert, Jc, Jc Gilbert
116,"Mckenzie, L",11830,,Mckenzie, L, L Mckenzie
117,"Brechling, Fpr",11831,,Brechling, Fpr, Fpr Brechling
118,"Kemp, Mc",11832,,Kemp, Mc, Mc Kemp
119,"Morishima, M",11833,,Morishima, M, M Morishima
120,"Hagger, A",11834,,Hagger, A, A Hagger
121,"Lipsey, Rg",11835,,Lipsey, Rg, Rg Lipsey
122,"Bergstrom, Ar",11836,,Bergstrom, Ar, Ar Bergstrom
123,"Black, Jd",11837,,Black, Jd, Jd Black
124,"Hoover, Cb",11838,,Hoover, Cb, Cb Hoover
125,"Abramovitz, M",11839,,Abramovitz, M, M Abramovitz
126,"Homan, Pt",11840,,Homan, Pt, Pt Homan
127,"Evans, Wd",11841,,Evans, Wd, Wd Evans
128,"Earley, Js",11842,,Earley, Js, Js Earley
129,"Mack, Rp",11843,,Mack, Rp, Rp Mack
130,"Wickens, Aj",11844,,Wickens, Aj, Aj Wickens
131,"Scitovsky, T",11845,,Scitovsky, T, T Scitovsky
132,"Salant, Wa",11846,,Salant, Wa, Wa Salant
133,"Eisner, R",11847,,Eisner, R, R Eisner
134,"Lintner, J",11848,,Lintner, J, J Lintner
135,"Kemp, Mc",11849,,Kemp, Mc, Mc Kemp
136,"Gilboy, Ew",11850,,Gilboy, Ew, Ew Gilboy
137,"Kessel, Ra",11851,,Kessel, Ra, Ra Kessel
138,"Duesenberry, J",11852,,Duesenberry, J, J Duesenberry
139,"Smith, Dt",11853,,Smith, Dt, Dt Smith
