,metadata,Clean Name,Possible Match,Possible Sex
128,"Duesenberry, J", J Duesenberry,,
129,"Smith, Dt", Dt Smith,,
130,"Whittlesey, Cr", Cr Whittlesey,Ryan Kellogg,Male
131,"Stewart, Cd", Cd Stewart,,
132,"Brownlee, Oh", Oh Brownlee,,
133,"Heller, Ww", Ww Heller,,
134,"Hart, Ag", Ag Hart,,
135,"Schelling, Tc", Tc Schelling,Henri Theil,Male
136,"Bogue, Dj", Dj Bogue,Daniel F. Spulber,Male
137,"Rapkin, C", C Rapkin,,
138,"Davis, K", K Davis,,
139,"Gordon, Ra", Ra Gordon,Carl F. Christ,Male
140,"Kellogg, Ce", Ce Kellogg,,
141,"Meyer, Fv", Fv Meyer,Don Patinkin,Male
142,"Slesinger, Re", Re Slesinger,,
143,"Spengler, Jj", Jj Spengler,,
144,"Cullen, De", De Cullen,,
145,"Theil, H", H Theil,,
146,"Spulber, N", N Spulber,,
147,"Morgan, Jn", Jn Morgan,,
148,"Alton, Tp", Tp Alton,,
149,"Christ, Cf", Cf Christ,Mikael Lindahl,Male
150,"Millikan, M", M Millikan,Hanan G. Jacoby,Male
151,"Patinkin, D", D Patinkin,,
152,"Carlson, S", S Carlson,,
153,"Schultz, Tw", Tw Schultz,,
154,"Hance, Wa", Wa Hance,,
155,"Herskovits, Mj", Mj Herskovits,,
156,"Mason, Es", Es Mason,,
157,"Brewster, K", K Brewster,William D. Grampp,Male
158,"Wilcox, C", C Wilcox,,
159,"Taff, Ca", Ca Taff,,
160,"Seymour, W", W Seymour,John W. Reid,Male
161,"Lindahl, Ml", Ml Lindahl,Marcel Boiteux,Male
162,"Tsiang, Sc", Sc Tsiang,,
163,"Jacoby, Nh", Nh Jacoby,Herbert A. Simon,Male
164,"White, Wh", Wh White,,
165,"Bodenhorn, D", D Bodenhorn,,
166,"Bauer, Pt", Pt Bauer,,
167,"Weintraub, S", S Weintraub,Alexander V. Hirsch,Male
168,"Wemelsfelder, J", J Wemelsfelder,,
