,metadata,ArticleID,index,last name,first name
3626,"Homan, Pt",11840,,Homan, Pt
3656,"Evans, Wd",11841,,Evans, Wd
3687,"Earley, Js",11842,,Earley, Js
3717,"Mack, Rp",11843,,Mack, Rp
3747,"Wickens, Aj",11844,,Wickens, Aj
3777,"Scitovsky, T",11845,,Scitovsky, T
3807,"Salant, Wa",11846,,Salant, Wa
3838,"Eisner, R",11847,,Eisner, R
3869,"Lintner, J",11848,,Lintner, J
3900,"Kemp, Mc",11849,,Kemp, Mc
3930,"Gilboy, Ew",11850,,Gilboy, Ew
3961,"Kessel, Ra",11851,,Kessel, Ra
3991,"Duesenberry, J",11852,,Duesenberry, J
4021,"Smith, Dt",11853,,Smith, Dt
4051,"Whittlesey, Cr",11854,,Whittlesey, Cr
4082,"Stewart, Cd",11855,,Stewart, Cd
4114,"Brownlee, Oh",11856,,Brownlee, Oh
4115,"Heller, Ww",11856,,Heller, Ww
4146,"Hart, Ag",11857,,Hart, Ag
4178,"Schelling, Tc",11858,,Schelling, Tc
4208,"Bogue, Dj",11859,,Bogue, Dj
4238,"Rapkin, C",11860,,Rapkin, C
4268,"Davis, K",11861,,Davis, K
4300,"Gordon, Ra",11862,,Gordon, Ra
4330,"Kellogg, Ce",11863,,Kellogg, Ce
4360,"Meyer, Fv",11864,,Meyer, Fv
4390,"Slesinger, Re",11865,,Slesinger, Re
4421,"Maher, Je",11866,,Maher, Je
4451,"Spengler, Jj",11867,,Spengler, Jj
4481,"Brems, H",11868,,Brems, H
4512,"Cullen, De",11869,,Cullen, De
4542,"Theil, H",11870,,Theil, H
4572,"Spulber, N",11871,,Spulber, N
4603,"Morgan, Jn",11872,,Morgan, Jn
4633,"Alton, Tp",11873,,Alton, Tp
4663,"Christ, Cf",11874,,Christ, Cf
4693,"Bronfenbrenner, M",11875,,Bronfenbrenner, M
4724,"Millikan, M",11876,,Millikan, M
4754,"Patinkin, D",11877,,Patinkin, D
4784,"Carlson, S",11878,,Carlson, S
4815,"Schultz, Tw",11879,,Schultz, Tw
4845,"Hance, Wa",11880,,Hance, Wa
4876,"Herskovits, Mj",11881,,Herskovits, Mj
4906,"Mason, Es",11882,,Mason, Es
4937,"Brewster, K",11883,,Brewster, K
4967,"Wilcox, C",11884,,Wilcox, C
4997,"Taff, Ca",11885,,Taff, Ca
5029,"Seymour, W",11886,,Seymour, W
5059,"Lindahl, Ml",11887,,Lindahl, Ml
5089,"Tsiang, Sc",11888,,Tsiang, Sc
5120,"Jacoby, Nh",11889,,Jacoby, Nh
5151,"White, Wh",11890,,White, Wh
5182,"Smith, Wl",11891,,Smith, Wl
5212,"Bodenhorn, D",11892,,Bodenhorn, D
5242,"Bauer, Pt",11893,,Bauer, Pt
5272,"Weintraub, S",11894,,Weintraub, S
5302,"Brown, Ec",11895,,Brown, Ec
5332,"Wemelsfelder, J",11896,,Wemelsfelder, J
5362,"Nelson, Rr",11897,,Nelson, Rr
5392,"Ellsberg, D",11898,,Ellsberg, D
5422,"Grampp, Wd",11899,,Grampp, Wd
5452,"Suranyiunger, T",11900,,Suranyiunger, T
5482,"Fellner, W",11901,,Fellner, W
5512,"Reid, Mg",11902,,Reid, Mg
5542,"Boiteux, M",11903,,Boiteux, M
5575,"Kemp, Mc",11904,,Kemp, Mc
5609,"Majumdar, T",11905,,Majumdar, T
5642,"Simon, Ha",11906,,Simon, Ha
5676,[Anonymous],11907,,[Anonymous],MISSING
5711,"Kemeny, Jg",11908,,Kemeny, Jg
5712,"Morgenstern, O",11908,,Morgenstern, O
5713,"Thompson, Gl",11908,,Thompson, Gl
5746,"Hirsch, Wz",11909,,Hirsch, Wz
5779,"Harsanyi, Jc",11910,,Harsanyi, Jc
5813,"Tizard, Rh",11911,,Tizard, Rh
5847,"Beckerman, W",11912,,Beckerman, W
5881,"Freund, Rj",11913,,Freund, Rj
5914,"Vandantzig, D",11914,,Vandantzig, D
5947,"Banerjee, Ks",11915,,Banerjee, Ks
5981,"Fei, Jch",11916,,Fei, Jch
6015,"Mcmanus, M",11917,,Mcmanus, M
6048,"Burger, E",11918,,Burger, E
6081,"Harrod, Rf",11919,,Harrod, Rf
6112,"Einzig, P",11920,,Einzig, P
6143,"Rostow, Ww",11921,,Rostow, Ww
6174,"Norton, Fe",11922,,Norton, Fe
6205,"Brumberg, Re",11923,,Brumberg, Re
6235,"Sherwood, Pw",11924,,Sherwood, Pw
6266,"Ponsonby, Gj",11925,,Ponsonby, Gj
6297,"Meek, Rl",11926,,Meek, Rl
6328,"Beckerman, W",11927,,Beckerman, W
6359,"Shackle, Gls",11928,,Shackle, Gls
6390,"Penrose, Et",11929,,Penrose, Et
6421,"Youngson, Aj",11930,,Youngson, Aj
6452,"Wiles, P",11931,,Wiles, P
6483,"Enthoven, Ac",11932,,Enthoven, Ac
6515,"Farnsworth, Hc",11933,,Farnsworth, Hc
6516,"Jones, Wo",11933,,Jones, Wo
6547,"Hutchison, Tw",11934,,Hutchison, Tw
6578,"Harrod, Rf",11935,,Harrod, Rf
6609,"Walker, G",11936,,Walker, G
6640,"Ozga, Sa",11937,,Ozga, Sa
6671,"Richardson, Jh",11938,,Richardson, Jh
6703,"Adams, Aa",11939,,Adams, Aa
6704,"Stewart, Ig",11939,,Stewart, Ig
6735,"Bruton, Hj",11940,,Bruton, Hj
6766,"Nicholson, Rj",11941,,Nicholson, Rj
6798,"Hawtrey, Rg",11942,,Hawtrey, Rg
6829,"Robertson, Dh",11943,,Robertson, Dh
6860,"Dejong, Fj",11944,,Dejong, Fj
6890,"Robinson, A",11945,,Robinson, A
6921,"Downie, J",11946,,Downie, J
6952,"Montrose, Jl",11947,,Montrose, Jl
6983,"Hunter, A",11948,,Hunter, A
7014,"Tinbergen, J",11949,,Tinbergen, J
7045,"Hawtrey, R",11950,,Hawtrey, R
7076,"Williams, G",11951,,Williams, G
7107,[Anonymous],11952,,[Anonymous],MISSING
7138,"Brockie, Md",11953,,Brockie, Md
7139,"Grey, Al",11953,,Grey, Al
7170,"Seton, F",11954,,Seton, F
7201,"Malenbaum, W",11955,,Malenbaum, W
7232,"Bodenhorn, D",11956,,Bodenhorn, D
7263,"Stigler, Gj",11957,,Stigler, Gj
7294,"Blaug, M",11958,,Blaug, M
7325,"Wallace, Rf",11959,,Wallace, Rf
7356,"Richter, Jh",11960,,Richter, Jh
7387,"Bailey, Mj",11961,,Bailey, Mj
7418,"Kreinin, Me",11962,,Kreinin, Me
7449,"Fox, Ka",11963,,Fox, Ka
7480,"Kravis, Ib",11964,,Kravis, Ib
7511,"Letwin, Wl",11965,,Letwin, Wl
7542,"Tiebout, Cm",11966,,Tiebout, Cm
7573,"North, Dc",11967,,North, Dc
7604,"Tiebout, Cm",11968,,Tiebout, Cm
7635,"Brown, Ec",11969,,Brown, Ec
7666,"Johnson, Dg",11970,,Johnson, Dg
7697,"Johnson, Hg",11971,,Johnson, Hg
7728,"Hasson, Ja",11972,,Hasson, Ja
7759,"Rottenberg, S",11973,,Rottenberg, S
7790,"Kahan, A",11974,,Kahan, A
7821,"Nicholls, Wh",11975,,Nicholls, Wh
7855,"Bergson, A",11976,,Bergson, A
7856,"Bernaut, R",11976,,Bernaut, R
7857,"Turgeon, L",11976,,Turgeon, L
7888,"Leeman, Wa",11977,,Leeman, Wa
7919,"Moore, Ca",11978,,Moore, Ca
7950,"Parrish, Jb",11979,,Parrish, Jb
7981,"Auten, Jh",11980,,Auten, Jh
8012,"Nicholls, Wh",11981,,Nicholls, Wh
8044,"Tiebout, Cm",11982,,Tiebout, Cm
8075,"Adler, Jh",11983,,Adler, Jh
8106,"Bauer, Pt",11984,,Bauer, Pt
8137,"Bronfenbrenner, M",11985,,Bronfenbrenner, M
8169,"Kaplan, Nm",11986,,Kaplan, Nm
8170,"Wainstein, Es",11986,,Wainstein, Es
8201,"Mason, We",11987,,Mason, We
8232,"Murphy, Jc",11988,,Murphy, Jc
8263,"Nutter, Gw",11989,,Nutter, Gw
8294,"Corbin, Da",11990,,Corbin, Da
8325,"Break, Gf",11991,,Break, Gf
8356,"Samuelson, Pa",11992,,Samuelson, Pa
8387,"Miller, E",11993,,Miller, E
8419,"Cyert, Rm",11994,,Cyert, Rm
8420,"March, Jg",11994,,March, Jg
8451,"Solow, Rm",11995,,Solow, Rm
8482,"Levitt, T",11996,,Levitt, T
8513,"Levin, Hj",11997,,Levin, Hj
8544,"Kemp, Mc",11998,,Kemp, Mc
8576,"Lerdau, E",11999,,Lerdau, E
8577,"Rowe, J",11999,,Rowe, J
8608,"Robinson, R",12000,,Robinson, R
8639,"Markham, Jw",12001,,Markham, Jw
8670,"Farnsworth, Hc",12002,,Farnsworth, Hc
8701,"Sheahan, J",12003,,Sheahan, J
8732,"Roberts, Dr",12004,,Roberts, Dr
8764,"Stockfisch, Ja",12005,,Stockfisch, Ja
8795,"Brems, H",12006,,Brems, H
8826,"Guttentag, J",12007,,Guttentag, J
8857,"Arant, Wd",12008,,Arant, Wd
8888,"Robinson, R",12009,,Robinson, R
8919,"Harbison, F",12010,,Harbison, F
8950,"Fisher, Fm",12011,,Fisher, Fm
8981,"Strassmann, Wp",12012,,Strassmann, Wp
9012,"Felix, D",12013,,Felix, D
9044,"Segal, M",12014,,Segal, M
9076,"Campbell, Rw",12015,,Campbell, Rw
9107,"Quandt, Re",12016,,Quandt, Re
9139,"Samuelson, Pa",12017,,Samuelson, Pa
9140,"Solow, Rm",12017,,Solow, Rm
9171,"Bodenhorn, D",12018,,Bodenhorn, D
9202,"Schlesinger, Jr",12019,,Schlesinger, Jr
9234,"Alexander, Kjw",12020,,Alexander, Kjw
9235,"Spraos, J",12020,,Spraos, J
9266,"Neisser, H",12021,,Neisser, H
9298,"Galenson, W",12022,,Galenson, W
9299,"Leibenstein, H",12022,,Leibenstein, H
9330,"Jones, Rw",12023,,Jones, Rw
9363,"Lipsey, Rg",12024,,Lipsey, Rg
9364,"Lancaster, K",12024,,Lancaster, K
9396,"Dobb, M",12025,,Dobb, M
9428,"Holton, Rh",12026,,Holton, Rh
9461,"Pearce, If",12027,,Pearce, If
9462,"Amey, Lr",12027,,Amey, Lr
9494,"Morishima, M",12028,,Morishima, M
9526,"Klein, Lr",12029,,Klein, Lr
9558,"Turvey, R",12030,,Turvey, R
9590,"Strotz, Rh",12031,,Strotz, Rh
9621,"Stuvel, G",12032,,Stuvel, G
9653,"Stykolt, S",12033,,Stykolt, S
9654,"Scott, A",12033,,Scott, A
9685,"Black, J",12034,,Black, J
9716,"Wicker, Er",12035,,Wicker, Er
9747,"Hazelwood, A",12036,,Hazelwood, A
9778,"Beckmann, Mj",12037,,Beckmann, Mj
9809,"Bailey, Mj",12038,,Bailey, Mj
9840,"Kennedy, C",12039,,Kennedy, C
9871,"Johnson, Hg",12040,,Johnson, Hg
9902,"Robinson, J",12041,,Robinson, J
9933,"Moses, Leon N.",12042,,Moses, Leon N.
9965,"Reder, M. W.",12043,,Reder, M. W.
9996,"Horowitz, Morris A.",12044,,Horowitz, Morris A.
10027,"Wolf, Charles, Jr.",12045,,Wolf, Charles
10059,"Hildebrand, George H.",12046,,Hildebrand, George H.
10090,"Friedman, Milton",12047,,Friedman, Milton
10121,"Nelson, James C.",12048,,Nelson, James C.
10152,"Robbins, Lionel",12049,,Robbins, Lionel
10184,"Higgins, B.",12050,,Higgins, B.
10217,"Brems, Hans",12051,,Brems, Hans
10249,"Wright, A. Ll.",12052,,Wright, A. Ll.
10281,"Balogh, T.",12053,,Balogh, T.
10314,"Edwards, Edgar O.",12054,,Edwards, Edgar O.
10346,"Davies, J. H.",12055,,Davies, J. H.
10378,"Wolfe, J. N.",12056,,Wolfe, J. N.
10410,"Maddison, A.",12057,,Maddison, A.
10442,"King, Frank H. H.",12058,,King, Frank H. H.
10474,"Gordon, Scott",12059,,Gordon, Scott
10507,"Ozga, S. A.",12060,,Ozga, S. A.
10539,"Heady, Earl O.",12061,,Heady, Earl O.
10572,"Michaely, Michael",12062,,Michaely, Michael
10604,"Nutter, G. Warren",12063,,Nutter, G. Warren
10636,"Mason, Will E.",12064,,Mason, Will E.
10668,"Boulding, K. E.",12065,,Boulding, K. E.
10701,"Alhadeff, Charlotte P.",12066,,Alhadeff, Charlotte P.
10702,"Alhadeff, David A.",12066,,Alhadeff, David A.
10734,"Hunter, Alex",12067,,Hunter, Alex
10766,"Brimmer, Andrew F.",12068,,Brimmer, Andrew F.
10798,"Glassburner, Bruce",12069,,Glassburner, Bruce
10831,"Hirshleifer, Jack",12070,,Hirshleifer, Jack
10864,"Scitovsky, Tibor",12071,,Scitovsky, Tibor
10896,"Leibenstein, Harvey",12072,,Leibenstein, Harvey
10929,"Henderson, James M.",12073,,Henderson, James M.
10930,"Quandt, Richard E.",12073,,Quandt, Richard E.
10963,"Nevin, Edward",12074,,Nevin, Edward
10995,"Chipman, J. S.",12075,,Chipman, J. S.
11026,"Shubik, M.",12076,,Shubik, M.
11060,"Morin, Francois",12077,,Morin, Francois
11093,"Burger, E.",12078,,Burger, E.
11127,"Bennett, M. K.",12079,,Bennett, M. K.
11159,"Bauer, P. T.",12080,,Bauer, P. T.
11191,"Weintraub, Robert E.",12081,,Weintraub, Robert E.
11223,"Brown, E. Cary",12082,,Brown, E. Cary
11255,"Thomson, Procter",12083,,Thomson, Procter
11287,"Stockfisch, J. A.",12084,,Stockfisch, J. A.
11320,"Gurley, John G.",12085,,Gurley, John G.
11321,"Shaw, E. S.",12085,,Shaw, E. S.
11353,"Eckaus, R. S.",12086,,Eckaus, R. S.
11384,"Street, James H.",12087,,Street, James H.
11416,"Fox, Karl A.",12088,,Fox, Karl A.
11417,"Taeuber, Richard C.",12088,,Taeuber, Richard C.
11449,"Campbell, Colin D.",12089,,Campbell, Colin D.
11450,"Campbell, Rosemary G.",12089,,Campbell, Rosemary G.
11481,"Hurwicz, Leonid",12090,,Hurwicz, Leonid
11512,"Valavanis, Stefan",12091,,Valavanis, Stefan
11543,"Hicks, J. R.",12092,,Hicks, J. R.
11575,"Friedman, Milton",12093,,Friedman, Milton
11607,"Robertson, D. H.",12094,,Robertson, D. H.
11639,"Smith, H.",12095,,Smith, H.
11671,"Wright, Carl Major",12096,,Wright, Carl Major
11704,"Brown, Weir M.",12097,,Brown, Weir M.
11736,"Nicholson, R. J.",12098,,Nicholson, R. J.
11768,"Macdougall, Donald",12099,,Macdougall, Donald
11801,"Ramaswami, V. K.",12100,,Ramaswami, V. K.
11833,"Kemp, Murray C.",12101,,Kemp, Murray C.
11866,"Robertson, D. H.",12102,,Robertson, D. H.
11898,"De Jong, F. J.",12103,,De Jong, F. J.
11931,"Stern, Ernest H.",12104,,Stern, Ernest H.
11964,"Malthus, T. R.",12105,,Malthus, T. R.
11995,"Sraffa, P.",12106,,Sraffa, P.
12027,"Tew, Brian",12107,,Tew, Brian
12059,[Anonymous],12108,,[Anonymous],MISSING
12090,"Niculescu, B. M.",12109,,Niculescu, B. M.
12123,"Gehrels, Franz",12110,,Gehrels, Franz
12124,"Johnston, Bruce F.",12110,,Johnston, Bruce F.
12156,"Morris, Morris David",12111,,Morris, Morris David
12188,"Harsanyi, John C.",12112,,Harsanyi, John C.
12221,"Bruton, Henry J.",12113,,Bruton, Henry J.
12253,"Wilson, George W.",12114,,Wilson, George W.
12285,"Smith, Robert S.",12115,,Smith, Robert S.
12317,"Carson, Deane",12116,,Carson, Deane
12350,"Galenson, Walter",12117,,Galenson, Walter
12351,"Leibenstein, Harvey",12117,,Leibenstein, Harvey
12383,"Letiche, J. M.",12118,,Letiche, J. M.
12415,"Wolfe, Martin",12119,,Wolfe, Martin
12447,"Freedman, Robert, Jr.",12120,,Freedman, Robert
12480,"Zauberman, Alfred",12121,,Zauberman, Alfred
12513,"Oxenfeldt, Alfred R.",12122,,Oxenfeldt, Alfred R.
12514,"Van Den Haag, Ernest",12122,,Van Den Haag, Ernest
12546,"Henderson, John P.",12123,,Henderson, John P.
12578,"Bergstrom, A. R.",12124,,Bergstrom, A. R.
12612,"Frechet, Maurice",12125,,Frechet, Maurice
12647,[Anonymous],12126,,[Anonymous],MISSING
12680,[Anonymous],12127,,[Anonymous],MISSING
12713,"Machlup, Fritz",12128,,Machlup, Fritz
12744,"Morgan, E. Victor",12129,,Morgan, E. Victor
12776,"Frankel, Marvin",12130,,Frankel, Marvin
12807,"Cohen, Jacob",12131,,Cohen, Jacob
12838,"Wells, Paul",12132,,Wells, Paul
12869,"Hansen, Alvin H.",12133,,Hansen, Alvin H.
12900,"Tyszynski, H.",12134,,Tyszynski, H.
12932,"Nicholson, J. L.",12135,,Nicholson, J. L.
12964,"Campbell, A. D.",12136,,Campbell, A. D.
12996,"Fleming, Marcus",12137,,Fleming, Marcus
13028,[Anonymous],12138,,[Anonymous],MISSING
13059,"Archibald, G. C.",12139,,Archibald, G. C.
13091,"Irvine, A. G.",12140,,Irvine, A. G.
13124,"Tawney, R. H.",12141,,Tawney, R. H.
13156,[Anonymous],12142,,[Anonymous],MISSING
13187,"Sturmthal, Adolf",12143,,Sturmthal, Adolf
13220,"Hough, Louis",12144,,Hough, Louis
13252,"Katz, Samuel I.",12145,,Katz, Samuel I.
13284,"Earley, James S.",12146,,Earley, James S.
13316,"North, Douglass C.",12147,,North, Douglass C.
13348,"Hutchison, T. W.",12148,,Hutchison, T. W.
13379,"Dorfman, Joseph",12149,,Dorfman, Joseph
13410,"Chenery, Hollis B.",12150,,Chenery, Hollis B.
13441,"Nicholls, William H.",12151,,Nicholls, William H.
13472,"Young, John H.",12152,,Young, John H.
13503,"Frankel, Marvin",12153,,Frankel, Marvin
13534,"Krutilla, John V.",12154,,Krutilla, John V.
13565,"Moore, F. T.",12155,,Moore, F. T.
13596,"Moore, Wilbert E.",12156,,Moore, Wilbert E.
13627,"Hoselitz, Bert F.",12157,,Hoselitz, Bert F.
13658,"Power, John H.",12158,,Power, John H.
13689,"Valavanis-Vail, Stefan",12159,,Valavanis-Vail, Stefan
13720,"Heady, Earl O.",12160,,Heady, Earl O.
13751,"Bronfenbrenner, Martin",12161,,Bronfenbrenner, Martin
13782,"Baldwin, Robert E.",12162,,Baldwin, Robert E.
13813,"Aubrey, Henry G.",12163,,Aubrey, Henry G.
13845,"Livingston, J. A.",12164,,Livingston, J. A.
13876,"Turner, Robert C.",12165,,Turner, Robert C.
13907,"Bailey, Stephen K.",12166,,Bailey, Stephen K.
13938,"Fels, Rendigs",12167,,Fels, Rendigs
13969,"Roose, Kenneth D.",12168,,Roose, Kenneth D.
14001,"Robinson, Marshall A.",12169,,Robinson, Marshall A.
14032,"Youngdahl, Richard",12170,,Youngdahl, Richard
14063,"Holland, Daniel M.",12171,,Holland, Daniel M.
14094,"Strayer, Paul J.",12172,,Strayer, Paul J.
14125,"Clark, J. M.",12173,,Clark, J. M.
14156,"Weintraub, Sidney",12174,,Weintraub, Sidney
14187,"Whitney, Simon N.",12175,,Whitney, Simon N.
14218,"Mckie, James W.",12176,,Mckie, James W.
14249,"Marengo, Louis",12177,,Marengo, Louis
14280,"Penrose, Edith",12178,,Penrose, Edith
14311,"Hickman, C. Addison",12179,,Hickman, C. Addison
14342,"Blair, John M.",12180,,Blair, John M.
14373,"Poole, Kenyon E.",12181,,Poole, Kenyon E.
14404,"Vickrey, William",12182,,Vickrey, William
14435,"Edwards, Ford K.",12183,,Edwards, Ford K.
14467,"Goode, Richard",12184,,Goode, Richard
14499,"Laursen, Svend",12185,,Laursen, Svend
14531,"Mckinley, Erskine",12186,,Mckinley, Erskine
14563,"Westfield, Fred M.",12187,,Westfield, Fred M.
14595,"Scott, Ira O., Jr.",12188,,Scott, Ira O.
14627,"Collery, Arnold P.",12189,,Collery, Arnold P.
14659,"Lydall, Harold",12190,,Lydall, Harold
14694,"Gartaganis, Arthur J.",12191,,Gartaganis, Arthur J.
14695,"Goldberger, Arthur S.",12191,,Goldberger, Arthur S.
14729,"Theil, H.",12192,,Theil, H.
14763,"Dewey, Donald",12193,,Dewey, Donald
14795,"Tobin, James",12194,,Tobin, James
14827,"Scott, Anthony",12195,,Scott, Anthony
14859,"Jenkins, H. P. B.",12196,,Jenkins, H. P. B.
14891,"Gordon, Donald F.",12197,,Gordon, Donald F.
14923,"Knight, Frank H.",12198,,Knight, Frank H.
14955,"Kuznets, Simon",12199,,Kuznets, Simon
14987,"Stocking, George V.",12200,,Stocking, George V.
14988,"Mueller, Willard F.",12200,,Mueller, Willard F.
15020,"Dixit, Avinash",12201,,Dixit, Avinash
15057,"Shin, Hyun Song",12202,,Shin, Hyun Song
15095,"Fehr, Ernst",12203,,Fehr, Ernst
15096,"Brown, Martin",12203,,Brown, Martin
15097,"Zehnder, Christian",12203,,Zehnder, Christian
15140,"Cogley, Timothy",12204,,Cogley, Timothy
15141,"Sargent, Thomas J.",12204,,Sargent, Thomas J.
15182,"Huang, Kevin X. D.",12205,,Huang, Kevin X. D.
15183,"Liu, Zheng",12205,,Liu, Zheng
15184,"Zha, Tao",12205,,Zha, Tao
15225,"Lockwood, Ben",12206,,Lockwood, Ben
15226,"Migali, Giuseppe",12206,,Migali, Giuseppe
15271,"Clark, Andrew E.",12207,,Clark, Andrew E.
15272,"Kristensen, Nicolai",12207,,Kristensen, Nicolai
15273,"Westergard-Nielsen, Niels",12207,,Westergard-Nielsen, Niels
15314,"Kassenboehmer, Sonja C.",12208,,Kassenboehmer, Sonja C.
15315,"Haisken-Denew, John P.",12208,,Haisken-Denew, John P.
15358,"Gregory-Smith, Ian",12209,,Gregory-Smith, Ian
15359,"Thompson, Steve",12209,,Thompson, Steve
15360,"Wright, Peter W.",12209,,Wright, Peter W.
15399,"Luechinger, Simon",12210,,Luechinger, Simon
