9038,"Dickerson, A",A Dickerson,Andy Dickerson,Male,,
1864,"Dixit, A",A Dixit,Avinash K. Dixit,Male,,
8976,"Dor, A",A Dor,Avi Dor,Male,,
11380,"Dougherty, A",A Dougherty,?,?,,
7749,"Douglas, A",A Douglas,?,?,,
14,"Downs, A",A Downs,Anthony Downs,Male,,
4927,"Drazen, A",A Drazen,Allan Drazen,Male,,
9629,"Drobny, A",A Drobny,?,?,,
3677,"Duncan, A",A Duncan,Alan Duncan,Male,,
6674,"Ebrahimi, A",A Ebrahimi,?,?,,
3406,"Eckstein, A",A Eckstein,?,?,,
13526,"Elek, A",A Elek,?,?,,
12129,"Erlich, A",A Erlich,Alexander Erlich,Male,,
10061,"Estevadeordal, A",A Estevadeordal,Antoni Estevadeordal,Male,,
11765,"Estrella, A",A Estrella,Arturo Estrella,Male,,
13890,"Farber, A",A Farber,?,?,,
3553,"Farmer, A",A Farmer,?,?,,
11777,"Faure-Grimaud, A",A Faure-Grimaud,Antoine Faure-Grimaud,Male,,
2019,"Feldman, A",A Feldman,Allan M. Feldman,Male,,
8885,"Ferrer-I-Carbonell, A",A Ferrer-I-Carbonell,Ada Ferrer-I-Carbonell,Female,,
10094,"Finkelstein, A",A Finkelstein,Amy Finkelstein,Female,,
5809,"Fishlow, A",A Fishlow,Albert Fishlow,Male,,
13591,"Fishman, A",A Fishman,Arthur Fishman,Male,,
8811,"Flores-Lagunes, A",A Flores-Lagunes,Alfonso Flores-Lagunes,Male,,
13628,"Forslund, A",A Forslund,?,?,,
3364,"Fox, A",A Fox,Alan K. Fox,Male,,
2104,"Freiden, A",A Freiden,?,?,,
1498,"Gabor, A",A Gabor,?,?,,
9815,"Galetovic, A",A Galetovic,Alexander Galetovic,Male,,
9741,"Gandolfi, A",A Gandolfi,Arthur E. Gandolfi,Male,,
8843,"Garratt, A",A Garratt,?,?,,
13630,"Gelb, A",A Gelb,Alan Gelb,Male,,
1675,"Gerber, A",A Gerber,?,?,,
7618,"Gerschenkron, A",A Gerschenkron,Alexander Gerschenkron,Male,,
12064,"Ghosh, A",A Ghosh,Atish R. Ghosh,Male,,
2500,"Glazer, A",A Glazer,Amihai Glazer,Male,,
4909,"Glyn, A",A Glyn,Andrew John Glyn,Male,,
1576,"Goodman, A",A Goodman,Allen Goodman,Male,,
