"Buse, A",A Buse,Adolf Buse,Male
"Kozlik, Adolf",Adolf Kozlik,Adolf Kozlik,Male
"Sturmthal, Adolf",Adolf Sturmthal,Adolf Sturmthal,Male
"Yatchew, A",A Yatchew,Adonis Yatchew,Male
"Soetevent, Ar",Ar Soetevent,Adriaan Soetevent,Male
"Adermon, Adrian",Adrian Adermon,Adrian Adermon,Male
"Peralta-Alva, Adrian",Adrian Peralta-Alva,Adrian Peralta-Alva,Male
"Ziderman, A",A Ziderman,Adrian Ziderman,Male
"Camacho, A",A Camacho,Adriana Camacho,Female
"Camacho, Adriana",Adriana Camacho,Adriana Camacho,Female
"Kugler, Ad",Ad Kugler,Adriana D. Kugler,Female
"Kugler, Adriana D.",Adriana D. Kugler,Adriana D. Kugler,Female
"Lleras-Muney, A",A Lleras-Muney,Adriana Lleras-Muney,Female
"Lleras-Muney, Adriana",Adriana Lleras-Muney,Adriana Lleras-Muney,Female
"Rampini, Adriano A.",Adriano A. Rampini,Adriano A. Rampini,Male
"Auclert, Adrien",Adrien Auclert,Adrien Auclert,Male
"Verdelhan, Adrien",Adrien Verdelhan,Adrien Verdelhan,Male
"Vigier, Adrien",Adrien Vigier,Adrien Vigier,Male
"Lucas, Adrienne M.",Adrienne M. Lucas,Adrienne M. Lucas,Female
"Fareed, Ae",Ae Fareed,AE Fareed,Male
"Safarian, Ae",Ae Safarian,AE Safarian,Male
"Maida, Agata",Agata Maida,Agata Maida,Female
"Sandmo, A",A Sandmo,Agnar Sandmo,Male
"Sandmo, A.",A. Sandmo,Agnar Sandmo,Male
"Kajackaite, Agne",Agne Kajackaite,Agne Kajackaite,Female
"Suziedelyte, Agne",Agne Suziedelyte,Agne Suziedelyte,Female
"Quisumbing, Agnes R.",Agnes R. Quisumbing,Agnes R. Quisumbing,Female
"Markiewicz, Agnieszka",Agnieszka Markiewicz,Agnieszka Markiewicz,Female
"Carstens, A",A Carstens,Agustin Carstens,Male
"Roitman, Agustin",Agustin Roitman,Agustin Roitman,Male
"Studenmund, Ah",Ah Studenmund,Ah Studenmund,Male
