index,AuthorID,ArticleID,AuthorOrder
0,191,2795,0
1,489,2796,0
2,3953,2796,0
3,1232,2797,0
4,162,2797,0
5,4929,2798,0
6,4069,2799,0
7,1329,2799,0
8,1718,2799,0
9,3898,2800,0
10,3003,2800,0
11,4508,2801,0
12,3714,2801,0
13,2457,2802,0
14,5456,2802,0
15,179,2803,0
16,3219,2804,0
17,2868,2804,0
18,2039,2805,0
19,2436,2806,0
20,3666,2807,0
21,983,2808,0
22,2434,2809,0
23,3379,2810,0
24,5673,2810,0
25,5766,2811,1
26,1875,2811,2
27,316,2812,0
28,1983,2812,0
29,3978,2813,0
30,3188,2813,0
31,4518,2813,0
32,6041,2814,0
33,1714,2814,0
34,5669,2815,0
35,5963,2816,0
36,4844,2817,0
37,4095,2817,0
38,1179,2818,0
39,4010,2818,0
40,5898,2819,0
41,1467,2819,0
42,5329,2820,0
43,784,2820,0
44,2379,2820,0
45,565,2821,0
46,3605,2821,0
47,356,2822,2
48,4473,2822,1
49,6507,2823,0
50,882,2823,0
51,4479,2824,0
52,5254,2825,2
53,3744,2825,1
54,1059,2826,0
55,754,2827,0
56,3830,2828,0
57,734,2828,0
58,4675,2829,1
59,263,2829,3
60,4975,2829,4
61,1750,2829,2
62,2419,2830,0
63,5935,2831,0
64,5144,2832,0
65,434,2832,0
66,6140,2833,0
67,4650,2833,0
68,5131,2833,0
69,6259,2834,0
70,2995,2835,0
71,269,2836,0
72,4690,2836,0
73,414,2837,2
74,1653,2837,1
75,5660,2838,0
76,2976,2838,0
77,5356,2839,1
78,209,2839,2
79,3068,2840,0
80,5725,2840,0
81,2788,2840,0
82,2820,2841,0
83,2916,2841,0
84,2361,2842,0
85,1442,2842,0
86,337,2843,0
87,4142,2843,0
88,2485,2844,1
89,5671,2844,2
90,1942,2845,0
91,4408,2846,0
92,2674,2846,0
93,4080,2846,0
94,1484,2847,0
95,2380,2847,0
96,1233,2847,0
97,798,2848,0
98,1133,2849,0
99,3137,2849,0
100,4659,2850,0
101,4817,2850,0
102,1332,2851,0
103,2198,2851,0
104,279,2852,0
105,3752,2852,0
106,4633,2852,0
107,2668,2852,0
108,4544,2853,0
109,3105,2854,0
110,572,2854,0
111,4322,2854,0
112,5113,2855,0
113,3115,2856,1
114,5952,2856,2
115,2950,2857,0
116,5837,2857,0
117,1021,2857,0
118,4998,2858,0
119,5457,2858,0
120,6294,2858,0
121,2721,2858,0
122,3901,2859,0
123,5444,2859,0
124,3044,2859,0
125,5326,2859,0
126,1133,2860,0
127,4956,2860,0
128,5629,2861,0
129,4769,2861,0
130,264,2861,0
131,6052,2862,0
132,7032,2863,0
133,3087,2864,0
134,4781,2865,0
135,1559,2865,0
136,1774,2866,0
137,3192,2866,0
138,5920,2867,0
139,1253,2867,0
140,1475,2868,0
141,3436,2869,0
142,2882,2869,0
143,985,2870,0
144,675,2871,0
145,842,2871,0
146,4602,2871,0
147,14,2872,0
148,2940,2872,0
149,3453,2873,0
150,4902,2874,0
151,922,2875,0
152,3890,2875,0
153,3752,2876,0
154,4916,2877,0
155,961,2878,0
156,1492,2879,0
157,2882,2880,0
158,4904,2881,0
159,754,2882,0
160,1188,2883,0
161,2296,2884,0
162,1779,2884,0
163,5289,2885,0
164,2867,2886,0
165,4255,2886,0
166,2813,2887,0
167,5556,2887,0
168,187,2888,0
169,6025,2888,0
170,501,2889,0
171,5672,2890,0
172,1664,2891,0
173,3083,2892,0
174,2218,2892,0
175,3442,2893,0
176,5660,2893,0
177,4010,2894,0
178,3247,2894,0
179,1422,2895,0
180,1807,2895,0
181,2906,2896,0
182,3662,2896,0
183,664,2897,0
184,5841,2897,0
185,5067,2898,0
186,2481,2898,0
187,2002,2898,0
188,5474,2898,0
189,1414,2899,0
190,3393,2900,0
191,2574,2900,0
192,4865,2900,0
193,607,2901,0
194,3828,2901,0
195,1711,2902,0
196,1133,2902,0
197,470,2903,0
198,1525,2903,0
199,1888,2903,0
200,5793,2904,0
201,1177,2904,0
202,816,2905,0
203,4740,2905,0
204,824,2905,0
205,10,2906,0
206,1142,2906,0
207,4352,2906,0
208,1484,2907,0
209,1996,2907,0
210,1434,2908,0
211,2920,2909,0
212,1156,2909,0
213,3810,2910,0
214,5402,2910,0
215,899,2911,0
216,4673,2911,0
217,1870,2912,0
218,2443,2912,0
219,1399,2913,0
220,754,2914,0
221,5917,2915,0
222,1422,2916,0
223,1807,2916,0
224,4048,2917,0
225,1464,2917,0
226,4322,2918,0
227,572,2918,0
228,2702,2919,0
229,2820,2919,0
230,6066,2920,0
231,3427,2920,0
232,2077,2920,0
233,379,2921,0
234,4297,2921,0
235,2006,2922,0
236,422,2922,0
237,2673,2923,0
238,4197,2923,0
239,5131,2923,0
240,4441,2924,0
241,2400,2925,0
242,4001,2925,0
243,2507,2925,0
244,3306,2926,0
245,6007,2927,0
246,4386,2927,0
247,462,2928,0
248,4721,2929,0
249,2361,2929,0
250,6021,2930,0
251,3509,2930,0
252,5953,2931,0
253,5147,2932,0
254,572,2933,0
255,6653,2933,0
256,470,2934,0
257,1888,2934,0
258,1715,2934,0
259,5829,2935,0
260,5378,2936,0
261,519,2937,0
262,1249,2938,0
263,4868,2938,0
264,5106,2939,0
265,3130,2939,0
266,4628,2940,0
267,5369,2940,0
268,1291,2941,0
269,657,2941,0
270,5489,2942,0
271,3253,2942,0
272,6253,2943,0
273,4826,2944,0
274,4718,2944,0
275,5431,2944,0
276,91,2945,0
277,6282,2946,0
278,5662,2946,0
279,2386,2947,0
280,5692,2947,0
281,5779,2948,0
282,5729,2948,0
283,3556,2949,0
284,1320,2950,0
285,5944,2950,0
286,3795,2950,0
287,5325,2951,0
288,2789,2951,0
289,4766,2952,0
290,2111,2953,0
291,5996,2953,0
292,754,2954,0
293,6013,2954,0
294,2198,2955,0
295,1149,2956,0
296,3158,2957,4
297,3892,2957,3
298,1037,2957,2
299,1008,2957,1
300,2940,2958,0
301,331,2959,0
302,3298,2960,0
303,3475,2961,0
304,5789,2962,0
305,2045,2962,0
306,2077,2962,0
307,1816,2963,0
308,5913,2963,0
309,6102,2964,0
310,3115,2964,0
311,1359,2965,0
312,24,2965,0
313,1324,2965,0
314,3146,2965,0
315,2871,2966,0
316,60,2966,0
317,2950,2967,0
318,4549,2968,0
319,4224,2968,0
320,2849,2968,0
321,1976,2969,0
322,4543,2970,0
323,5485,2971,0
324,1020,2971,0
325,3919,2972,0
326,5419,2972,0
327,1434,2973,0
328,4684,2973,0
329,5502,2974,0
330,3515,2974,0
331,5437,2975,0
332,4056,2976,1
333,946,2976,2
334,657,2977,0
335,2949,2978,0
336,5538,2978,0
337,5456,2979,0
338,2457,2979,0
339,5934,2980,0
340,1767,2980,0
341,5419,2981,2
342,2605,2981,1
343,2361,2982,0
344,2391,2982,0
345,2111,2983,0
346,7032,2984,0
347,5672,2985,0
348,4474,2986,0
349,429,2987,0
350,3474,2988,0
351,1998,2988,0
352,452,2989,0
353,2029,2989,0
354,2457,2990,0
355,3132,2991,0
356,1968,2991,0
357,5747,2992,0
358,3038,2992,0
359,3225,2993,0
